Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement
454,4770778,4776562,4777174,0.610000,0.000596,4485,-24.859465,6818.010000,42862.000000
455,4777174,4783440,4783914,0.480000,0.000616,4437,-25.743609,6824.880000,42931.100000
456,4783914,4789792,4790275,0.480000,0.000591,4602,-24.710963,6831.240000,42993.600000
457,4790275,4796106,4796825,0.720000,0.000610,4853,-25.562822,6837.550000,43057.600000
458,4796825,4802770,4803359,0.590000,0.000609,4522,-25.563764,6844.210000,43123.500000
459,4803359,4809268,4809897,0.630000,0.000602,4292,-25.302062,6850.710000,43188.000000
460,4809897,4815518,4815956,0.440000,0.000562,4652,-23.607215,6856.960000,43250.600000
461,4815956,4821816,4822356,0.540000,0.000586,4727,-24.690478,6863.260000,43313.400000
462,4822356,4828379,4828910,0.530000,0.000600,4263,-25.330765,6869.820000,43379.500000
463,4828910,4834082,4834619,0.530000,0.000581,3791,-24.532510,6875.530000,43435.600000
464,4834619,4840459,4841006,0.550000,0.000592,4513,-25.033471,6881.900000,43499.600000
465,4841006,4846952,4847587,0.630000,0.000599,4457,-25.382510,6888.400000,43564.100000
466,4847587,4853433,4853970,0.530000,0.000584,4809,-24.782337,6894.880000,43628.900000
467,4853970,4859858,4860477,0.620000,0.000589,4653,-25.048020,6901.300000,43693.800000
468,4860477,4866490,4867149,0.660000,0.000635,4099,-27.099498,6907.930000,43759.300000
469,4867149,4872372,4873012,0.640000,0.000557,4422,-23.704549,6913.820000,43818.000000
470,4873012,4878582,4879140,0.550000,0.000579,4616,-24.694065,6920.030000,43880.000000
471,4879140,4884871,4885423,0.550000,0.000596,4457,-25.479495,6926.320000,43942.900000
472,4885423,4891146,4891620,0.470000,0.000608,4144,-26.046289,6932.590000,44005.500000
473,4891620,4897561,4898137,0.570000,0.000601,4716,-25.789252,6939.010000,44069.300000
474,4898137,4903975,4904518,0.540000,0.000597,4507,-25.651623,6945.420000,44133.300000
475,4904518,4910489,4910990,0.500000,0.000599,4784,-25.765022,6951.930000,44198.300000
476,4910990,4916988,4917550,0.560000,0.000613,4321,-26.423945,6958.430000,44263.200000
477,4917550,4923807,4924312,0.510000,0.000619,4764,-26.733495,6965.250000,44331.100000
478,4924312,4930308,4930822,0.520000,0.000611,4598,-26.422705,6971.750000,44396.100000
479,4930822,4936824,4937410,0.580000,0.000602,4759,-26.076661,6978.270000,44461.100000
480,4937410,4942920,4943522,0.610000,0.000585,4365,-25.359891,6984.360000,44522.100000
481,4943522,4949420,4950156,0.740000,0.000624,4418,-27.145050,6990.860000,44586.800000
482,4950156,4955850,4956224,0.380000,0.000588,4400,-25.557905,6997.290000,44651.100000
483,4956224,4962296,4962957,0.660000,0.000622,4598,-27.103593,7003.740000,44715.500000
484,4962957,4968513,4969009,0.490000,0.000571,4277,-24.875970,7009.960000,44777.400000
485,4969009,4975046,4975596,0.550000,0.000606,4758,-26.464578,7016.490000,44842.600000
486,4975596,4981413,4982124,0.710000,0.000600,4515,-26.248202,7022.860000,44906.000000
487,4982124,4987388,4987942,0.560000,0.000565,4270,-24.711292,7028.830000,44965.800000
488,4987942,4993768,4994381,0.620000,0.000593,4717,-26.000336,7035.210000,45029.400000
489,4994381,5000071,5000675,0.600000,0.000593,4462,-26.043355,7041.520000,45092.300000
